"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"04.03.2021","25.097,00","24.958,06","25.198,27","24.800,44","609,98M","0,17%"
"03.03.2021","25.054,31","25.263,42","25.396,83","24.822,86","766,35M","-0,27%"
"02.03.2021","25.122,68","25.234,14","25.397,10","25.122,68","566,33M","-0,76%"
"01.03.2021","25.313,88","25.142,04","25.316,77","25.117,33","608,56M","1,84%"
"26.02.2021","24.856,67","24.727,46","25.051,29","24.679,30","699,17M","-0,92%"
"25.02.2021","25.087,79","25.311,00","25.332,12","25.081,48","862,15M","-0,18%"
"24.02.2021","25.133,31","24.941,86","25.166,88","24.913,68","1,09B","0,62%"
"23.02.2021","24.977,71","25.172,93","25.246,83","24.660,97","704,42M","-0,41%"
"22.02.2021","25.079,69","25.059,18","25.116,15","24.907,96","531,77M","-0,47%"
"19.02.2021","25.196,86","24.988,64","25.245,59","24.891,89","624,66M","0,90%"
"18.02.2021","24.973,09","25.286,81","25.371,15","24.932,76","642,86M","-1,16%"
"17.02.2021","25.266,63","25.495,53","25.556,88","25.211,56","630,57M","-1,09%"
"16.02.2021","25.546,33","25.761,40","25.769,43","25.536,55","757,23M","-0,72%"
"15.02.2021","25.732,75","25.764,92","25.775,76","25.683,32","640,79M","0,79%"
"12.02.2021","25.531,62","25.410,17","25.531,62","25.169,23","516,63M","0,42%"
"11.02.2021","25.425,71","25.392,82","25.486,39","25.363,64","588,12M","0,25%"
"10.02.2021","25.361,39","25.486,49","25.492,15","25.231,94","749,70M","-0,02%"
"09.02.2021","25.367,65","25.557,59","25.557,59","25.316,34","680,80M","-0,51%"
"08.02.2021","25.498,80","25.321,15","25.578,52","25.279,42","979,73M","1,53%"
"05.02.2021","25.115,02","25.022,73","25.305,77","24.976,48","986,03M","0,74%"
"04.02.2021","24.930,42","24.594,02","25.001,10","24.508,49","749,51M","1,51%"
"03.02.2021","24.559,12","24.461,31","24.773,59","24.406,87","1,05B","2,08%"
"02.02.2021","24.059,55","23.942,58","24.151,65","23.942,58","929,65M","1,05%"
"01.02.2021","23.809,30","23.711,49","23.870,52","23.597,54","550,08M","1,18%"
"29.01.2021","23.530,79","23.531,23","23.750,67","23.483,77","577,38M","-1,48%"
"28.01.2021","23.883,40","23.430,10","23.914,26","23.243,77","549,41M","1,09%"
"27.01.2021","23.625,51","23.910,20","23.973,74","23.371,54","589,28M","-1,46%"
"26.01.2021","23.974,65","23.669,92","24.028,54","23.609,89","567,36M","1,20%"
"25.01.2021","23.690,91","24.213,04","24.220,99","23.628,28","654,69M","-1,53%"
"22.01.2021","24.058,38","24.231,70","24.231,70","23.891,76","595,23M","-1,43%"
"21.01.2021","24.408,60","24.780,15","24.830,33","24.404,65","595,50M","-0,92%"
"20.01.2021","24.634,64","24.551,65","24.653,21","24.490,21","531,11M","0,85%"
"19.01.2021","24.427,84","24.629,37","24.639,03","24.415,87","673,40M","-0,24%"
"18.01.2021","24.487,31","24.265,54","24.500,69","24.253,27","426,71M","0,38%"
"15.01.2021","24.395,73","24.659,15","24.758,65","24.252,20","554,57M","-1,09%"
"14.01.2021","24.663,85","24.780,92","24.902,88","24.663,85","547,68M","-0,49%"
"13.01.2021","24.784,36","24.646,72","24.852,30","24.604,93","503,33M","0,44%"
"12.01.2021","24.675,52","24.842,48","24.878,65","24.589,78","686,98M","-0,38%"
"11.01.2021","24.769,19","24.736,24","24.836,47","24.532,66","509,52M","-0,23%"
"08.01.2021","24.826,80","24.966,89","25.032,80","24.731,44","606,03M","0,25%"
"07.01.2021","24.764,96","24.851,36","24.882,51","24.648,46","737,09M","0,02%"
"06.01.2021","24.759,56","24.359,58","24.809,85","24.215,15","876,89M","2,34%"
"05.01.2021","24.193,22","24.218,97","24.337,65","24.093,66","592,18M","-0,47%"
"04.01.2021","24.307,39","24.376,85","24.493,18","24.210,11","598,96M","0,43%"
